timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
6400000,1310988,1310988,1310996,1311004,0,0.004965243,0.004744577,0.009014537,0.0,1310988,1310988,1310996,1311004,0,0.00024804202,0.00030801006,0.00036663064,0.0,1,1,1,0,1,1,1,0
6600000,1310988,1310988,1310996,1311004,0,0.005749833,0.0032653129,0.0035579994,0.0,1310988,1310988,1310996,1311004,0,0.0003555803,0.00020285838,0.00049370696,0.0,1,1,1,0,1,1,1,0
6800000,1310988,1310988,1310996,1311004,0,0.004371556,0.0027056427,0.0061472356,0.0,1310988,1310988,1310996,1311004,0,0.00040048023,0.00020179,0.00028096628,0.0,1,1,1,0,1,1,1,0
7000000,1310988,1310988,1310996,1311004,0,0.0064698495,0.0031623552,0.003339692,0.0,1310988,1310988,1310996,1311004,0,0.0002107057,0.00010140451,0.00020614982,0.0,1,1,1,0,1,1,1,0
7196000,1310988,1310988,1310996,1311004,0,0.00499531,0.0030769925,0.0070582507,0.0,1310988,1310988,1310996,1311004,0,0.00024086463,0.00049709587,0.00030373392,0.0,1,1,1,0,1,1,1,0
7400000,1310988,1310988,1310996,1311004,0,0.0012676646,0.0012806335,0.002097071,0.0,1310988,1310988,1310996,1311004,0,0.00040933935,0.0001340956,0.0002752838,0.0,1,1,1,0,1,1,1,0
7600000,1310988,1310988,1310996,1311004,0,0.0039910413,0.0041385856,0.0019763915,0.0,1310988,1310988,1310996,1311004,0,0.00011632211,0.00033101876,0.00031278195,0.0,1,1,1,0,1,1,1,0
7800000,1310988,1310988,1310996,1311004,0,0.0042183,0.005522705,0.009698912,0.0,1310988,1310988,1310996,1311004,0,0.00053202925,0.00028541562,0.0007385196,0.0,1,1,1,0,1,1,1,0
7996000,1310988,1310988,1310996,1311004,0,0.005373681,0.0027485217,0.0077383285,0.0,1310988,1310988,1310996,1311004,0,0.0003424602,0.00036688542,0.00025130442,0.0,1,1,1,0,1,1,1,0
8200000,1310988,1310988,1310996,1311004,0,0.010206457,0.001338397,0.010864836,0.0,1310988,1310988,1310996,1311004,0,0.000366341,0.00019238376,0.0005225347,0.0,1,1,1,0,1,1,1,0
8400000,1310988,1310988,1310996,1311004,0,0.0044384403,0.001868887,0.0030212365,0.0,1310988,1310988,1310996,1311004,0,0.0001880242,0.00012903773,7.275282e-05,0.0,1,1,1,0,1,1,1,0
8600000,1310988,1310988,1310996,1311004,0,0.0020652923,0.005634397,0.0075340364,0.0,1310988,1310988,1310996,1311004,0,0.00024075908,0.0003398951,0.00034942233,0.0,1,1,1,0,1,1,1,0
8800000,1310988,1310988,1310996,1311004,0,0.0047210115,0.0051175193,0.006101815,0.0,1310988,1310988,1310996,1311004,0,0.0002540048,0.00026579556,0.00020134436,0.0,1,1,1,0,1,1,1,0
9000000,1310988,1310988,1310996,1311004,0,0.004751964,0.0031414053,0.0021936244,0.0,1310988,1310988,1310996,1311004,0,0.00030840872,0.00020645103,0.00019104952,0.0,1,1,1,0,1,1,1,0
9200000,1310988,1310988,1310996,1311004,0,0.014048282,0.0077145845,0.006540132,0.0,1310988,1310988,1310996,1311004,0,0.0003884631,0.00019882667,0.00034819823,0.0,1,1,1,0,1,1,1,0
9400000,1310988,1310988,1310996,1311004,0,0.0031785816,0.0017609842,0.0015013942,0.0,1310988,1310988,1310996,1311004,0,4.8568574e-05,6.0327413e-05,6.3738116e-05,0.0,1,1,1,0,1,1,1,0
9600000,1310988,1310988,1310996,1311004,0,0.009911819,0.007087443,0.0036323357,0.0,1310988,1310988,1310996,1311004,0,0.0002813868,5.1448482e-05,0.0003266028,0.0,1,1,1,0,1,1,1,0
9800000,1310988,1310988,1310996,1311004,0,0.0042513506,0.0023017272,0.0046129716,0.0,1310988,1310988,1310996,1311004,0,0.00017975626,0.00022747403,0.00013273,0.0,1,1,1,0,1,1,1,0
10000000,1310988,1310988,1310996,1311004,0,0.008447346,0.012276709,0.020305537,0.0,1310988,1310988,1310996,1311004,0,2.757198e-05,0.00029169722,0.0002776567,0.0,1,1,1,0,1,1,1,0
10196000,1310988,1310988,1310996,1311004,0,0.0029949606,0.0032455646,0.0019047213,0.0,1310988,1310988,1310996,1311004,0,0.00012682925,0.00020715306,0.00026637284,0.0,1,1,1,0,1,1,1,0
10396000,1310988,1310988,1310996,1311004,0,0.009674414,0.009426054,0.014876783,0.0,1310988,1310988,1310996,1311004,0,0.00050273887,0.00025717105,0.00029224154,0.0,1,1,1,0,1,1,1,0
10600000,1310988,1310988,1310996,1311004,0,0.0156039335,0.010318493,0.006060573,0.0,1310988,1310988,1310996,1311004,0,5.0518414e-05,0.00017041157,0.00016348649,0.0,1,1,1,0,1,1,1,0
10800000,1310988,1310988,1310996,1311004,0,0.0033807354,0.0076442882,0.008767674,0.0,1310988,1310988,1310996,1311004,0,0.00014585315,0.0002965103,0.00015910147,0.0,1,1,1,0,1,1,1,0
11000000,1310988,1310988,1310996,1311004,0,0.001678388,0.0019210115,0.000680503,0.0,1310988,1310988,1310996,1311004,0,0.00030995673,0.0002305601,0.00011843078,0.0,1,1,1,0,1,1,1,0
11200000,1310988,1310988,1310996,1311004,0,0.005074552,0.0060923607,0.0019843092,0.0,1310988,1310988,1310996,1311004,0,0.0002018579,0.00022072902,0.00015881569,0.0,1,1,1,0,1,1,1,0
11396000,1310988,1310988,1310996,1311004,0,0.0028645152,0.0029031131,0.0020659254,0.0,1310988,1310988,1310996,1311004,0,0.00038812394,0.00034448912,0.00010600947,0.0,1,1,1,0,1,1,1,0
11596000,1310988,1310988,1310996,1311004,0,0.006900452,0.0045394353,0.008534981,0.0,1310988,1310988,1310996,1311004,0,0.0003889595,0.00018991438,0.00020446519,0.0,1,1,1,0,1,1,1,0
11800000,1310988,1310988,1310996,1311004,0,0.0025085106,0.0017944098,0.00371331,0.0,1310988,1310988,1310996,1311004,0,8.2209226e-05,6.915343e-05,3.3904023e-05,0.0,1,1,1,0,1,1,1,0
12000000,1310988,1310988,1310996,1311004,0,0.0025582276,0.011938859,0.013062818,0.0,1310988,1310988,1310996,1311004,0,0.00015351857,0.0002786426,0.0004079454,0.0,1,1,1,0,1,1,1,0
12200000,1310988,1310988,1310996,1311004,0,0.001657939,0.0023124705,0.0015904728,0.0,1310988,1310988,1310996,1311004,0,0.00037364798,0.00022009558,0.00029821126,0.0,1,1,1,0,1,1,1,0
12400000,1310988,1310988,1310996,1311004,0,0.0038352336,0.0033146213,0.0010363741,0.0,1310988,1310988,1310996,1311004,0,0.00019959862,0.00011887831,0.00011837676,0.0,1,1,1,0,1,1,1,0
12596000,1310988,1310988,1310996,1311004,0,0.011123377,0.00095135794,0.010399246,0.0,1310988,1310988,1310996,1311004,0,0.00032756597,0.00035617113,7.7041914e-05,0.0,1,1,1,0,1,1,1,0
12800000,1310988,1310988,1310996,1311004,0,0.0029139433,0.004138399,0.004045614,0.0,1310988,1310988,1310996,1311004,0,0.00016545941,0.00028768482,0.00034125845,0.0,1,1,1,0,1,1,1,0
13000000,1310988,1310988,1310996,1311004,0,0.0020722868,0.0013584042,0.0022118627,0.0,1310988,1310988,1310996,1311004,0,0.00014613435,0.00018611556,7.7825636e-05,0.0,1,1,1,0,1,1,1,0
13196000,1310988,1310988,1310996,1311004,0,0.0014321719,0.0013912007,0.00139639,0.0,1310988,1310988,1310996,1311004,0,0.00016189224,7.52791e-05,0.000114817965,0.0,1,1,1,0,1,1,1,0
13400000,1310988,1310988,1310996,1311004,0,0.0028058093,0.0030386513,0.0041198977,0.0,1310988,1310988,1310996,1311004,0,0.0002883957,0.0001432907,0.00033574205,0.0,1,1,1,0,1,1,1,0
13600000,1310988,1310988,1310996,1311004,0,0.0030679908,0.0030623714,0.0030646117,0.0,1310988,1310988,1310996,1311004,0,0.00045403952,0.00016093193,0.0005293699,0.0,1,1,1,0,1,1,1,0
13800000,1310988,1310988,1310996,1311004,0,0.006317614,0.013069561,0.012199116,0.0,1310988,1310988,1310996,1311004,0,0.00026603122,0.0003721963,0.00011443778,0.0,1,1,1,0,1,1,1,0
14000000,1310988,1310988,1310996,1311004,0,0.009198795,0.002432063,0.009051108,0.0,1310988,1310988,1310996,1311004,0,0.0001712569,0.00021445987,9.581385e-05,0.0,1,1,1,0,1,1,1,0
14196000,1310988,1310988,1310996,1311004,0,0.005489033,0.0030715584,0.007553127,0.0,1310988,1310988,1310996,1311004,0,0.00014155955,0.0001633509,8.048753e-05,0.0,1,1,1,0,1,1,1,0
14400000,1310988,1310988,1310996,1311004,0,0.005815788,0.0043538753,0.002261179,0.0,1310988,1310988,1310996,1311004,0,0.00015768045,0.00025533652,0.00020741577,0.0,1,1,1,0,1,1,1,0
14600000,1310988,1310988,1310996,1311004,0,0.011394186,0.010526704,0.019769639,0.0,1310988,1310988,1310996,1311004,0,0.00036889367,0.00015408076,0.00042836904,0.0,1,1,1,0,1,1,1,0
14800000,1310988,1310988,1310996,1311004,0,0.003013802,0.0026158444,0.0037608545,0.0,1310988,1310988,1310996,1311004,0,0.00032563074,0.00017657339,0.00019594016,0.0,1,1,1,0,1,1,1,0
