timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
21000000,16.02988,16.066223,-1.0,-1.0,-1.0,0.0,0.9391919,1.0083266,nan,4,4.016556,4.016556,4.016556,4.016556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
21200000,16.022547,16.058956,-1.0,-1.0,-1.0,0.0,0.9358888,1.008783,nan,4,4.014739,4.014739,4.014739,4.014739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
21400000,16.015215,16.05167,-1.0,-1.0,-1.0,0.0,0.9325772,1.0092409,nan,4,4.0129175,4.0129175,4.0129175,4.0129175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
21600000,16.007881,16.044384,-1.0,-1.0,-1.0,0.0,0.9292651,1.0096991,nan,4,4.011096,4.011096,4.011096,4.011096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
21788000,16.000988,16.037455,-1.0,-1.0,-1.0,0.0,0.9261156,1.0101354,nan,4,4.0093637,4.0093637,4.0093637,4.0093637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
22000000,15.993216,16.029783,-1.0,-1.0,-1.0,0.0,0.92262846,1.0106188,nan,4,4.007446,4.007446,4.007446,4.007446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
22200000,15.985883,16.022478,-1.0,-1.0,-1.0,0.0,0.91930777,1.0110795,nan,4,4.0056195,4.0056195,4.0056195,4.0056195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
22400000,15.97855,16.01516,-1.0,-1.0,-1.0,0.0,0.91598135,1.0115416,nan,4,4.00379,4.00379,4.00379,4.00379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
22600000,15.971217,16.007835,-1.0,-1.0,-1.0,0.0,0.9126521,1.0120045,nan,4,4.001959,4.001959,4.001959,4.001959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
22800000,15.963884,16.000511,-1.0,-1.0,-1.0,0.0,0.9093228,1.0124677,nan,4,4.000128,4.000128,4.000128,4.000128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
